model,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,bootstrap,class_weight,train_acc,test_acc,gap
RandomForest,200,35.0,10,4,log2,True,balanced_subsample,0.9981186444714344,0.7639283179559971,0.23419032651543725
RandomForest,100,30.0,7,2,sqrt,False,balanced,0.9997380391036175,0.7639283179559971,0.23580972114762033
RandomForest,100,42.0,4,3,log2,True,,0.9984282346217046,0.7638396025550035,0.2345886320667011
RandomForest,300,30.0,3,4,sqrt,True,,0.9986425662641994,0.7637065294535131,0.2349360368106863
RandomForest,300,26.0,2,4,log2,True,,0.9980551387995841,0.7636621717530163,0.23439296704656776
RandomForest,150,29.0,15,3,log2,False,,0.998602875219293,0.7636621717530163,0.2349407034662767
RandomForest,300,31.0,3,4,sqrt,True,balanced,0.9986743191001246,0.7636621717530163,0.2350121473471083
RandomForest,100,30.0,6,8,log2,True,balanced,0.9969199749152596,0.7634403832505323,0.23347959166472732
RandomForest,200,40.0,12,5,log2,False,balanced,0.9983250379049479,0.7634403832505323,0.23488465465441555
RandomForest,150,23.0,10,7,sqrt,False,,0.9984838020845737,0.7633960255500355,0.23508777653453816
RandomForest,200,31.0,8,8,sqrt,False,,0.9984123582037421,0.7633516678495387,0.2350606903542034
RandomForest,300,36.0,11,5,sqrt,True,balanced_subsample,0.9984679256666111,0.7633516678495387,0.23511625781707246
RandomForest,100,28.0,6,6,sqrt,True,,0.9983726671588357,0.763262952448545,0.23510971471029063
RandomForest,300,42.0,2,4,sqrt,True,,0.9986266898462369,0.763262952448545,0.2353637373976919
RandomForest,100,33.0,7,7,log2,True,,0.9967215196907274,0.7632185947480482,0.2335029249426792
RandomForest,100,30.0,4,8,sqrt,False,balanced,0.9984996785025363,0.7632185947480482,0.23528108375448809
RandomForest,100,30.0,7,4,sqrt,False,,0.9991903026839084,0.7632185947480482,0.2359717079358602
RandomForest,200,10.0,4,8,sqrt,True,,0.9962214125249061,0.7631742370475515,0.23304717547735465
RandomForest,200,29.0,3,6,log2,False,,0.997999571336715,0.7631742370475515,0.23482533428916352
RandomForest,300,35.0,6,6,log2,False,balanced,0.997999571336715,0.7631742370475515,0.23482533428916352
RandomForest,100,27.0,7,2,log2,False,balanced,0.9994046343264033,0.763041163946061,0.23636347038034222
RandomForest,150,31.0,6,8,sqrt,True,balanced,0.9979916331277338,0.7629968062455642,0.23499482688216955
RandomForest,200,22.0,10,6,sqrt,True,,0.998301223278004,0.7628637331440739,0.23543749013393012
RandomForest,150,21.0,3,2,log2,True,balanced,0.9987775158168813,0.7628637331440739,0.2359137826728075
RandomForest,100,42.0,7,8,sqrt,False,balanced,0.9984996785025363,0.762819375443577,0.23568030305895926
RandomForest,100,27.0,3,6,sqrt,False,balanced,0.9988251450707691,0.7627750177430802,0.23605012732768893
RandomForest,300,38.0,5,4,log2,False,balanced,0.9984679256666111,0.7627306600425834,0.23573726562402775
RandomForest,300,40.0,3,8,sqrt,True,balanced,0.9980233859636589,0.7626863023420866,0.23533708362157235
RandomForest,150,28.0,5,8,log2,True,balanced_subsample,0.9966103847649893,0.7626419446415897,0.23396844012339957
RandomForest,100,12.0,15,1,log2,True,,0.9968405928254467,0.7625088715400994,0.2343317212853473
RandomForest,300,23.0,6,5,log2,False,,0.9981980265612472,0.7624645138396026,0.23573351272164467
