model,C,solver,class_weight,max_iter,train_acc,test_acc,gap,max_depth,min_samples_split,min_samples_leaf,criterion,splitter,ccp_alpha,n_estimators,max_features,bootstrap
RandomForest,,,,,0.9990950441761328,0.7991483321504613,0.1999467120256716,42.0,8.0,5.0,,,,300.0,,False
RandomForest,,,balanced,,0.998714010145031,0.7990152590489709,0.1996987510960601,24.0,3.0,8.0,,,,150.0,,True
RandomForest,,,,,0.998848959697713,0.7989265436479773,0.1999224160497357,36.0,3.0,6.0,,,,150.0,,False
DecisionTree,,,,,0.9969437895422036,0.7987934705464869,0.1981503189957166,30.0,17.0,9.0,entropy,random,1e-05,,,
DecisionTree,,,,,0.9969437895422036,0.7987934705464869,0.1981503189957166,32.0,13.0,9.0,log_loss,random,1e-05,,,
DecisionTree,,,,,0.9969437895422036,0.7987934705464869,0.1981503189957166,30.0,3.0,9.0,log_loss,random,1e-05,,,
DecisionTree,,,,,0.997039048049979,0.7983942512420156,0.1986447968079634,30.0,17.0,7.0,log_loss,random,0.0,,,
DecisionTree,,,,,0.990188373699126,0.7981281050390348,0.1920602686600913,26.0,11.0,7.0,entropy,random,0.001,,,
DecisionTree,,,,,0.9965865701380454,0.7975958126330731,0.1989907575049723,17.0,33.0,8.0,entropy,random,0.0001,,,
DecisionTree,,,,,0.996134092226112,0.7972409510290986,0.1988931411970133,25.0,3.0,12.0,gini,random,1e-06,,,
RandomForest,,,balanced,,0.9984838020845735,0.7971078779276083,0.2013759241569653,20.0,17.0,9.0,,,,150.0,,True
RandomForest,,,,,0.9994760782072348,0.7967973740241305,0.2026787041831043,34.0,6.0,3.0,,,,100.0,,False
RandomForest,,,,,0.9994046343264033,0.7967530163236338,0.2026516180027694,31.0,8.0,3.0,,,,300.0,,False
DecisionTree,,,,,0.9731609154342598,0.7961763662171752,0.1769845492170845,13.0,39.0,16.0,gini,best,0.01,,,
DecisionTree,,,,,0.991307661165488,0.795333569907736,0.1959740912577519,29.0,3.0,10.0,log_loss,random,0.001,,,
DecisionTree,,,,,0.99796781850079,0.7944907735982967,0.2034770449024932,35.0,34.0,11.0,log_loss,best,1e-05,,,
DecisionTree,,,,,0.9985552459654052,0.7942689850958127,0.2042862608695925,27.0,21.0,2.0,log_loss,best,0.0001,,,
DecisionTree,,,,,0.9973327617822868,0.7934705464868701,0.2038622152954166,30.0,5.0,1.0,entropy,random,0.0001,,,
DecisionTree,,,,,0.9976344137235756,0.7926277501774308,0.2050066635461448,10.0,26.0,1.0,gini,best,0.0,,,
RandomForest,,,,,0.9990950441761328,0.7921841731724627,0.2069108710036702,45.0,14.0,4.0,,,,200.0,,False
DecisionTree,,,,,0.9989839092503948,0.7920954577714692,0.2068884514789257,18.0,22.0,3.0,gini,best,1e-06,,,
RandomForest,,,,,0.9990950441761328,0.7920954577714692,0.2069995864046637,29.0,2.0,5.0,,,,150.0,,False
RandomForest,,,,,0.998848959697713,0.7917849538679915,0.2070640058297215,42.0,6.0,6.0,,,,200.0,,False
RandomForest,,,,,0.998848959697713,0.7917849538679915,0.2070640058297215,38.0,4.0,6.0,,,,300.0,,False
RandomForest,,,,,0.998848959697713,0.7917849538679915,0.2070640058297215,39.0,6.0,6.0,,,,300.0,,False
RandomForest,,,,,0.998848959697713,0.7917849538679915,0.2070640058297215,37.0,4.0,6.0,,,,200.0,,False
RandomForest,,,,,0.998848959697713,0.7917849538679915,0.2070640058297215,40.0,4.0,6.0,,,,300.0,,False
DecisionTree,,,,,0.9969914187960912,0.7915188076650106,0.2054726111310806,27.0,3.0,7.0,gini,random,1e-05,,,
DecisionTree,,,,,0.9954514062537212,0.7909421575585521,0.2045092486951689,30.0,15.0,9.0,gini,random,0.0001,,,
DecisionTree,,,,,0.9974915259619124,0.7903655074520937,0.2071260185098188,33.0,14.0,6.0,entropy,random,1e-05,,,
DecisionTree,,,,,0.9915378692259452,0.7903211497515968,0.2012167194743483,22.0,15.0,6.0,entropy,random,0.001,,,
DecisionTree,,,,,0.9823295468076492,0.789833215046132,0.1924963317615172,4.0,6.0,14.0,log_loss,best,1e-05,,,
DecisionTree,,,,,0.9969120367062784,0.789833215046132,0.2070788216601463,23.0,16.0,6.0,log_loss,random,1e-05,,,
DecisionTree,,,,,0.9728036960301016,0.789611426543648,0.1831922694864536,4.0,14.0,9.0,gini,random,1e-05,,,
RandomForest,,,,,0.9996904098497296,0.7893896380411639,0.2103007718085657,38.0,8.0,1.0,,,,150.0,,False
